Gauge[mm],Volume[m3]
0.0,0.0
1.0,1.534
2.0,3.068
3.0,4.603
4.0,6.137
5.0,7.671
6.0,9.205
7.0,10.739
8.0,12.274
9.0,13.808
10.0,15.342
11.0,16.877
12.0,18.412
13.0,19.948
14.0,21.483
15.0,23.018
16.0,24.553
17.0,26.088
18.0,27.624
19.0,29.159
20.0,30.694
21.0,32.236
22.0,33.778
23.0,35.32
24.0,36.862
25.0,38.404
26.0,39.945
27.0,41.487
28.0,43.029
29.0,44.571
30.0,46.113
31.0,47.656
32.0,49.198
33.0,50.741
34.0,52.284
35.0,53.827
36.0,55.369
37.0,56.912
38.0,58.455
39.0,59.997
40.0,61.54
41.0,63.084
42.0,64.627
43.0,66.171
44.0,67.714
45.0,69.258
46.0,70.802
47.0,72.345
48.0,73.889
49.0,75.432
50.0,76.976
51.0,78.521
52.0,80.065
53.0,81.61
54.0,83.154
55.0,84.699
56.0,86.244
57.0,87.788
58.0,89.333
59.0,90.877
60.0,92.422
61.0,93.968
62.0,95.513
63.0,97.059
64.0,98.604
65.0,100.15
66.0,101.696
67.0,103.241
68.0,104.787
69.0,106.332
70.0,107.878
71.0,109.424
72.0,110.971
73.0,112.517
74.0,114.063
75.0,115.61
76.0,117.156
77.0,118.702
78.0,120.248
79.0,121.795
80.0,123.341
81.0,124.888
82.0,126.435
83.0,127.983
84.0,129.53
85.0,131.077
86.0,132.624
87.0,134.171
88.0,135.719
89.0,137.266
90.0,138.813
91.0,140.36
92.0,141.908
93.0,143.455
94.0,145.003
95.0,146.55
96.0,148.097
97.0,149.645
98.0,151.192
99.0,152.74
100.0,154.287
101.0,155.835
102.0,157.384
103.0,158.932
104.0,160.48
105.0,162.029
106.0,163.577
107.0,165.125
108.0,166.673
109.0,168.222
110.0,169.77
111.0,171.319
112.0,172.869
113.0,174.418
114.0,175.967
115.0,177.517
116.0,179.066
117.0,180.615
118.0,182.164
119.0,183.714
120.0,185.263
121.0,186.813
122.0,188.364
123.0,189.914
124.0,191.464
125.0,193.015
126.0,194.565
127.0,196.115
128.0,197.665
129.0,199.216
130.0,200.766
131.0,202.317
132.0,203.868
133.0,205.42
134.0,206.971
135.0,208.522
136.0,210.073
137.0,211.624
138.0,213.176
139.0,214.727
140.0,216.278
141.0,217.83
142.0,219.382
143.0,220.935
144.0,222.487
145.0,224.039
146.0,225.591
147.0,227.143
148.0,228.696
149.0,230.248
150.0,231.8
151.0,233.353
152.0,234.906
153.0,236.46
154.0,238.013
155.0,239.566
156.0,241.119
157.0,242.672
158.0,244.226
159.0,245.779
160.0,247.332
161.0,248.886
162.0,250.44
163.0,251.994
164.0,253.548
165.0,255.103
166.0,256.657
167.0,258.211
168.0,259.765
169.0,261.319
170.0,262.873
171.0,264.428
172.0,265.983
173.0,267.538
174.0,269.093
175.0,270.648
176.0,272.203
177.0,273.758
178.0,275.313
179.0,276.868
180.0,278.423
181.0,279.979
182.0,281.535
183.0,283.091
184.0,284.647
185.0,286.203
186.0,287.759
187.0,289.315
188.0,290.871
189.0,292.427
190.0,293.983
191.0,295.54
192.0,297.097
193.0,298.654
194.0,300.211
195.0,301.768
196.0,303.325
197.0,304.882
198.0,306.439
199.0,307.996
200.0,309.553
201.0,311.111
202.0,312.669
203.0,314.227
204.0,315.785
205.0,317.343
206.0,318.9
207.0,320.458
208.0,322.016
209.0,323.574
210.0,325.132
211.0,326.691
212.0,328.25
213.0,329.809
214.0,331.368
215.0,332.927
216.0,334.485
217.0,336.044
218.0,337.603
219.0,339.162
220.0,340.721
221.0,342.281
222.0,343.841
223.0,345.4
224.0,346.96
225.0,348.52
226.0,350.08
227.0,351.64
228.0,353.199
