Date,Lat,Lon,State,temperature_2m,sea_surface_temperature,surface_pressure
2026-05-28,25 01 N,084 57 W,3.0,27.697916,28.006248,1014.77924
2026-05-29,22 14 N,077 36 W,3.0,27.300003,26.827082,1014.70416
2026-05-30,20 00 N,070 06 W,4.0,27.110418,27.364586,1015.5542
2026-05-31,18 40 N,062 37 W,4.0,26.902084,27.331251,1017.72504
2026-06-01,17 07 N,056 18 W,5.0,26.30625,26.950003,1018.9917
2026-06-02,09 46 N,050 31 W,5.0,27.018747,27.827082,1015.46674
2026-06-03,05 28 N,044 52 W,4.0,27.385416,28.133331,1014.825
2026-06-04,00 47 N,038 46 W,4.0,26.602083,28.106249,1014.4375
2026-06-05,03 33 S,033 07 W,4.0,27.989584,28.608332,1013.52924
2026-06-06,08 05 S,027 41 W,4.0,27.333334,28.429169,1013.35834
2026-06-07,12 33 S,22 07 W,4.0,25.741669,26.516665,1015.8125
2026-06-08,16 43 S,016 37 W,4.0,23.925001,24.6875,1019.5916
2026-06-09,20 56 S,010 34 W,4.0,22.0375,23.347918,1020.8416
2026-06-10,24 27 S,004 56 W,3.0,21.247917,22.345833,1019.175
2026-06-11,27 55 S,001 17 E,4.0,18.158335,20.970835,1021.5542
2026-06-12,30 55 S,007 33 E,5.0,16.783333,18.516666,1025.75
2026-06-13,33 45 S,014 35 E,4.0,15.872917,17.260416,1025.3125
2026-06-14,35 06 S,021 59 E,4.0,16.252085,17.139585,1021.3958
2026-06-15,33 24 S,028 57 E,5.0,20.002083,22.81875,1022.57916
2026-06-16,30 44 S,036 06 E,3.0,22.335419,24.285416,1025.5
2026-06-17,28 04 S,043 00 E,4.0,21.75625,24.247917,1024.625
2026-06-18,25 05 S,049 25 E,4.0,21.777084,25.064583,1020.5999
2026-06-19,21 55 S,056 00 E,4.0,23.216667,25.574999,1018.0999
2026-06-20,18 50 S,061 59 E,3.0,23.977083,26.022917,1016.87915
2026-06-21,15 32 S,068 04 E,4.0,25.356249,25.7875,1016.70416
2026-06-22,12 25 S,073 46 E,5.0,26.041666,26.737497,1014.8208
2026-06-23,08 48 S,079 20 E,5.0,26.747917,27.550001,1012.4292
2026-06-24,04 23 S,083 54 E,5.0,28.064583,30.11875,1011.18335
2026-06-25,00 14 N,088 39 E,4.0,27.887499,30.377085,1010.675
2026-06-26,04 42 N,093 13 E,4.0,27.389582,29.635416,1010.625
2026-06-27,04 47 N,098 49 E,4.0,28.470833,30.975,1009.6792
2026-06-28,01 17 N,103 18 E,3.0,29.552084,30.739584,1009.29584
2026-06-29,01 11 N,103 41 E,3.0,28.941666,30.677084,1009.6167
2026-06-30,05 20 N,107 08 E,3.0,28.75625,30.066666,1009.5208
2026-07-01,10 51 N,111 50 E,3.0,28.227083,29.766668,1006.8042
2026-07-02,16 31 N,116 32 E,5.0,29.06042,29.94375,1008.5916
2026-07-03,21 24 N,121 48 E,5.0,29.397917,29.69375,1013.2166
2026-07-04,28 05 N,125 27 E,5.0,28.320833,28.454168,1011.7417
2026-07-05,35 07 N,124 57 E,4.0,24.395834,23.720833,1004.075
2026-07-06,36 14 N,124 00 E,5.0,24.847916,24.720833,1003.6541
2026-07-07,36 44 N,125 38 E,5.0,23.429169,23.591667,1003.9292
