date,apparent_temperature,pressure_msl,wind_speed_10m,sea_surface_temperature
2026-05-28 00:00:00-06:00,31.939037,1015.0,3,27.75
2026-05-28 01:00:00-06:00,32.305874,1014.3,3,27.75
2026-05-28 02:00:00-06:00,31.922676,1014.0,3,27.7
2026-05-28 03:00:00-06:00,31.99097,1014.1,3,27.7
2026-05-28 04:00:00-06:00,32.482967,1014.3,3,27.7
2026-05-28 05:00:00-06:00,32.766,1014.4,2,27.7
2026-05-28 06:00:00-06:00,33.29178,1014.6,3,27.75
2026-05-28 07:00:00-06:00,32.870777,1015.4,3,27.8
2026-05-28 08:00:00-06:00,32.862827,1015.6,3,27.9
2026-05-28 09:00:00-06:00,32.98087,1015.7,3,28.05
2026-05-28 10:00:00-06:00,34.429764,1016.0,3,28.15
2026-05-28 11:00:00-06:00,34.591908,1015.6,3,28.25
2026-05-28 12:00:00-06:00,35.139874,1015.5,3,28.35
2026-05-28 13:00:00-06:00,34.77553,1014.9,3,28.4
2026-05-28 14:00:00-06:00,34.66513,1014.0,3,28.45
2026-05-28 15:00:00-06:00,34.255684,1013.9,3,28.5
2026-05-28 16:00:00-06:00,33.475895,1013.6,3,28.55
2026-05-28 17:00:00-06:00,33.33744,1013.8,3,28.55
2026-05-28 18:00:00-06:00,33.41033,1013.8,3,28.55
2026-05-28 19:00:00-06:00,33.73013,1014.3,3,28.55
2026-05-28 20:00:00-06:00,33.49797,1014.8,3,28.5
2026-05-28 21:00:00-06:00,33.54152,1015.2,3,28.4
2026-05-28 22:00:00-06:00,33.062508,1015.8,3,28.35
2026-05-28 22:00:00-06:00,33.062508,1015.8,3,26.8
2026-05-28 23:00:00-06:00,32.851276,1015.4,3,28.3
2026-05-28 23:00:00-06:00,32.851276,1015.4,3,26.75
2026-05-29 00:00:00-04:00,29.971695,1015.7,4,28.35
2026-05-29 00:00:00-04:00,29.971695,1015.7,4,26.8
2026-05-29 01:00:00-04:00,29.848854,1015.0,4,28.3
2026-05-29 01:00:00-04:00,29.848854,1015.0,4,26.75
2026-05-29 02:00:00-04:00,29.649544,1014.8,4,26.75
2026-05-29 03:00:00-04:00,29.72966,1014.2,4,26.75
2026-05-29 04:00:00-04:00,29.59174,1014.1,4,26.7
2026-05-29 05:00:00-04:00,29.183037,1014.0,4,26.65
2026-05-29 06:00:00-04:00,29.110832,1014.1,4,26.65
2026-05-29 07:00:00-04:00,29.170776,1014.4,4,26.65
2026-05-29 08:00:00-04:00,29.724754,1015.2,4,26.65
2026-05-29 09:00:00-04:00,29.576279,1015.4,4,26.7
2026-05-29 10:00:00-04:00,29.653782,1015.4,4,26.75
2026-05-29 11:00:00-04:00,30.575157,1015.5,4,26.8
2026-05-29 12:00:00-04:00,31.081944,1015.4,4,26.9
2026-05-29 13:00:00-04:00,31.509571,1015.1,4,26.95
2026-05-29 14:00:00-04:00,31.659416,1014.6,4,27.0
2026-05-29 15:00:00-04:00,31.513706,1014.3,4,27.0
2026-05-29 16:00:00-04:00,31.356842,1013.7,4,27.05
2026-05-29 17:00:00-04:00,30.484486,1013.4,4,27.05
2026-05-29 18:00:00-04:00,30.276688,1013.9,4,27.0
2026-05-29 19:00:00-04:00,30.398384,1013.9,4,27.0
2026-05-29 20:00:00-04:00,31.60284,1014.6,3,27.0
2026-05-29 21:00:00-04:00,31.441448,1014.9,3,27.0
2026-05-29 22:00:00-04:00,31.218803,1015.4,4,26.95
2026-05-29 23:00:00-04:00,29.919537,1015.6,4,26.95
2026-05-30 00:00:00-04:00,29.959766,1015.7,4,27.3
2026-05-30 01:00:00-04:00,29.697441,1015.2,4,27.25
2026-05-30 02:00:00-04:00,29.320805,1015.0,4,27.25
2026-05-30 03:00:00-04:00,29.038029,1014.9,4,27.25
2026-05-30 04:00:00-04:00,28.732258,1015.0,4,27.25
2026-05-30 05:00:00-04:00,28.507526,1015.1,4,27.2
2026-05-30 06:00:00-04:00,28.372261,1015.6,4,27.2
2026-05-30 07:00:00-04:00,28.493912,1016.1,4,27.25
2026-05-30 08:00:00-04:00,29.04514,1016.6,4,27.25
2026-05-30 09:00:00-04:00,29.257217,1016.7,4,27.3
2026-05-30 10:00:00-04:00,30.301113,1017.0,4,27.35
2026-05-30 11:00:00-04:00,31.10709,1016.9,4,27.4
2026-05-30 12:00:00-04:00,31.671696,1016.7,4,27.45
2026-05-30 13:00:00-04:00,32.173923,1016.4,4,27.5
2026-05-30 14:00:00-04:00,31.890865,1015.6,4,27.55
2026-05-30 15:00:00-04:00,31.486801,1014.8,5,27.55
2026-05-30 16:00:00-04:00,31.14495,1014.5,5,27.55
2026-05-30 17:00:00-04:00,30.229443,1014.1,4,27.55
2026-05-30 18:00:00-04:00,30.006542,1014.6,4,27.5
2026-05-30 19:00:00-04:00,29.9109,1015.0,4,27.45
2026-05-30 20:00:00-04:00,30.466599,1015.3,4,27.45
2026-05-30 21:00:00-04:00,30.235825,1016.0,5,27.45
2026-05-30 22:00:00-04:00,30.582024,1016.4,4,27.4
2026-05-30 23:00:00-04:00,29.968445,1016.7,4,27.4
2026-05-31 00:00:00-04:00,28.777977,1017.9,5,27.3
2026-05-31 01:00:00-04:00,28.997086,1017.1,5,27.25
2026-05-31 02:00:00-04:00,28.907005,1017.0,4,27.25
2026-05-31 03:00:00-04:00,29.016747,1016.8,4,27.25
2026-05-31 04:00:00-04:00,28.728611,1017.1,4,27.2
2026-05-31 05:00:00-04:00,28.548191,1017.5,4,27.2
2026-05-31 06:00:00-04:00,28.39677,1017.7,4,27.2
2026-05-31 07:00:00-04:00,28.543839,1018.1,4,27.2
2026-05-31 08:00:00-04:00,29.373482,1018.6,4,27.2
2026-05-31 09:00:00-04:00,29.750309,1019.0,4,27.25
2026-05-31 10:00:00-04:00,30.15731,1019.0,4,27.3
2026-05-31 11:00:00-04:00,30.77206,1018.7,4,27.35
2026-05-31 12:00:00-04:00,31.134811,1018.4,4,27.4
